timestamp,original,statuscode,mimetype,digest
20071021083124,http://millsberry.com:80/museum/paint/winners.phtml?neighborhood=Lakeview&back=2,200,text/html,5LSN4TRFVSP2XGKQDHFDMX534RIEGN64
20071013050353,http://millsberry.com:80/museum/paint/winners.phtml?neighborhood=Metro+Park&back=2,200,text/html,KMTLLYNNASLCPJDU3PWB7RZJ2HR4LL4O
20070217034506,http://www.millsberry.com:80/museum/paint/winners.phtml?neighborhood=Golden+Valley,200,text/html,QMESOWYXVFMZBGZHXQIIWETZ3J2FBWVQ
20061025025729,http://www.millsberry.com:80/museum/paint/winners.phtml?neighborhood=Lakeview,200,text/html,PRKZZYS7SJBCQ3ILX22VR6GB7UUOC7GX
20060102100730,http://www.millsberry.com:80/police/winter.phtml,200,text/html,U2P6ATZXAJAOHTSNPPCJJS535SEIAIX6
20060505110728,http://www.millsberry.com:80/police/winter.phtml?pf=1,200,text/html,T72CKCYJF6KNFXXOVPOY7RCX2YJWEMZH
20071114045222,http://www.millsberry.com:80/police/?action=hits,200,text/html,QKKI66WJXCCU3W563GDO4MN2WHM4HXGE
20071114054100,http://www.millsberry.com:80/police/?action=shop,200,text/html,DIBQHBAND35QKGCWPAG4IDUBU5Y2KDPR
20060507225407,http://www.millsberry.com:80/post_office/index.phtml?action=compose&gid=4004,200,text/html,S36OZFU32R3SFH6KQOZ7T7V7IKE45DBC
20060507225429,http://www.millsberry.com:80/post_office/index.phtml?action=compose&gid=4008,200,text/html,IJO7IUOP2JF6FVG5T2A2CI2RQOSQKKVG
20060507225435,http://www.millsberry.com:80/post_office/index.phtml?action=compose&gid=4009,200,text/html,JRF7O3EKCAHLHKGNKXPPV5S7KHQNMYOY
20060507225450,http://www.millsberry.com:80/post_office/index.phtml?action=compose&gid=4012,200,text/html,WOXWTASY5CFMAYU66XC45ZSY5C2NZNIF
20060711210516,http://www.millsberry.com:80/post_office/index.phtml?action=compose&gid=8001,200,text/html,HT4GONBB5N7ZJHF5563JE7FW3OMLZDRI
20060711210810,http://www.millsberry.com:80/post_office/index.phtml?action=compose&gid=8003,200,text/html,RZXNUCA4RDV5KA6HECGCYBLMFSJKSCAH
20060411032153,http://www.millsberry.com:80/post_office/index.phtml?action=delete,200,text/html,RQDKX7QHBKODBNIAE5WVV4BG4LJIRFP4
20060702172041,http://www.millsberry.com:80/post_office/index.phtml?action=delete&class=success,200,text/html,7UC4PBSLA56VBHKJAEX4TWNFW2ED7V37
20051211094704,http://www.millsberry.com:80/process_elephant.phtml,200,text/html,ZFMU63XJVNQUIX6D6PP7Q5QGGNGJRCIZ
