timestamp,original,mimetype,digest,status,outfile,bytes,error
"20050305090912","http://www.millsberry.com:80/images/site_gfx/header_gfx/title_inventory.gif","image/gif","TEJZDE7FELZLHNIC2BQUBGIYO7UIQHVV","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\header_gfx\20050305090912__TEJZDE7FELZLHNIC2BQUBGIYO7UIQHVV__title_inventory.gif",475,""
"20040918124215","http://www.millsberry.com/images/site_gfx/header_gfx/title_main_map.gif","image/gif","2LKH4SM3VTPCJ5HUFRCZSRKBDMN5LVSY","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\header_gfx\20040918124215__2LKH4SM3VTPCJ5HUFRCZSRKBDMN5LVSY__title_main_map.gif",417,""
"20040805015135","http://www.millsberry.com:80/images/site_gfx/header_stripe.gif","image/gif","6DCCYLZ27P55L7TKYLZPDRVTK4PDJAVF","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\20040805015135__6DCCYLZ27P55L7TKYLZPDRVTK4PDJAVF__header_stripe.gif",1182,""
"20050425222226","http://www.millsberry.com:80/images/site_gfx/hi_score_tab_v1.gif","image/gif","5FK2PNVBZBRIXFET6XR735EUUP7K44WC","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\20050425222226__5FK2PNVBZBRIXFET6XR735EUUP7K44WC__hi_score_tab_v1.gif",10837,""
"20050512053042","http://www.millsberry.com:80/images/site_gfx/interiors/gazette/ads/ad_arcade_matchwanted.gif","image/gif","BWDVVDVFESDH2GIYHB2DVH2H5MAA2XMG","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\interiors\gazette\ads\20050512053042__BWDVVDVFESDH2GIYHB2DVH2H5MAA2XMG__ad_arcade_matchwanted.gif",29323,""
"20050425230218","http://www.millsberry.com:80/images/site_gfx/interiors/gazette/ads/ad_bank_1_v1.gif","image/gif","VNXC7QB2NE3UWFR47NVX7IN57MRVRHBS","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\interiors\gazette\ads\20050425230218__VNXC7QB2NE3UWFR47NVX7IN57MRVRHBS__ad_bank_1_v1.gif",19983,""
"20050425234253","http://www.millsberry.com:80/images/site_gfx/interiors/gazette/ads/ad_charmhint_4_v1.gif","image/gif","ZHZ22MNGCMLFKU2WOXYEVLEDUKO36GSH","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\interiors\gazette\ads\20050425234253__ZHZ22MNGCMLFKU2WOXYEVLEDUKO36GSH__ad_charmhint_4_v1.gif",17728,""
"20050506143511","http://www.millsberry.com/images/site_gfx/interiors/gazette/ads/ad_charmhint_6_v1.gif","image/gif","TTNLEIGRL2JP6C7KPWYDFJHWYXA6I4P3","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\interiors\gazette\ads\20050506143511__TTNLEIGRL2JP6C7KPWYDFJHWYXA6I4P3__ad_charmhint_6_v1.gif",16263,""
"20050425235905","http://www.millsberry.com:80/images/site_gfx/interiors/gazette/ads/ad_charmreminder_1_v1.gif","image/gif","ZMWDEY6UDMEQ2VCLIPPKVJNW6U2WUOZR","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\interiors\gazette\ads\20050425235905__ZMWDEY6UDMEQ2VCLIPPKVJNW6U2WUOZR__ad_charmreminder_1_v1.gif",5608,""
"20050329224911","http://www.millsberry.com:80/images/site_gfx/interiors/gazette/ads/ad_grocerystore_2_v1.gif","image/gif","VS4PXE5GBTDUU4JJSOI2SMW3MV5SB2QO","downloaded",".\official-recovered-assets\www.millsberry.com\images\site_gfx\interiors\gazette\ads\20050329224911__VS4PXE5GBTDUU4JJSOI2SMW3MV5SB2QO__ad_grocerystore_2_v1.gif",19955,""
